feature	BNLX1_MaleLiver	BNLX2_MaleLiver	BNLX3_MaleLiver	SHRH1_MaleLiver	SHRH5_MaleLiver
mir690-3p|chr6:41896264-41896287	-4.871051015	-6.438083905	-5.005853255	-5.040587395	-5.67721383
mir339-5p|chr12:19355864-19355912	4.761762471	6.206885436	5.138649557	6.01493684	5.260297313
mir690-3p|chr3:129901338-129901360	-3.929944704	-4.630728983	-4.564663468	-6.50231813	-4.430299089
"mir29c-3p,mir3556b-3p|chr13:118329969-118330022"	3.156854981	2.424553453	2.15868581	3.196995565	2.80337444
mir_chr5_25105|chr5:20894320-20894383	-3.305453839	-2.737644187	-2.056584057	-3.231920336	-2.563957852
"rno-mir-3075-5p,mir3075-5p|chr16:1800321-1800377"	-4.871051015	-2.737644187	-2.847705421	-2.047495764	-2.015768243
mir_chr5_25980|chr5:164489061-164489114	-4.871051015	-6.438083905	-6.30451157	-5.106389454	-6.262176331
mir_chr9_32784|chr9:73130820-73130885	-4.871051015	-3.268158903	-2.397620975	-2.047495764	-1.219531993
"mir126a-3p,mir126b-3p,mir3567-3p,mir126-3p|chr3:9402711-9402770"	14.64751228	14.38595939	15.21945101	13.24692436	14.3127805
"mir3595-3p,mir376a-3p|chr6:143035943-143036003"	-1.411619396	-2.045766482	-3.497156648	-2.784461359	-2.561736613
"mir181b-3p,mir181b-1-3p,mir181b1-3p|chr13:59986292-59986349"	-0.31523486	0.003532365	-0.167417961	-0.954747079	0.868960388
"mir101a-1-3p,mir101b-3p|chr1:254503441-254503490"	13.81317189	13.2975095	13.95426729	12.74205194	13.64980785
"mir3548-3p,mir200a-3p|chr5:176963374-176963434"	7.486006078	7.690313257	7.40037552	6.51681228	7.364885546
mir_chr14_10592|chr14:71638378-71638425	-1.860271176	-1.590086998	-1.077232576	-5.312840331	-6.262176331
mir_chr1_2742|chr1:118281831-118281887	-4.871051015	-4.681060658	-3.793549651	-5.925817208	-4.029515574
mir879-5p|chr4:21605854-21605892	1.974439036	2.812214513	2.581184803	1.570648901	2.377996288
mir_chr1_1918|chr1:274073953-274074010	-3.286088514	-4.11615581	-3.497156648	-6.691351954	-6.262176331
mir5132-5p|chr1:152464630-152464665	-1.411619396	-4.853121404	-3.898519211	-6.691351954	-3.940248236
mir490-3p|chr4:63056531-63056573	2.386336828	2.535240364	2.737147581	2.732352262	2.890007088
mir7061-5p|chr1:208508737-208508767	-4.871051015	-6.438083905	-6.30451157	-5.116039624	-6.262176331
mir215-3p|chr13:107924718-107924768	-4.871051015	-6.438083905	-4.71954907	-4.392693639	-4.67721383
mir324-5p|chr10:56366242-56366286	1.059686322	1.654673236	0.989925384	1.750928081	1.103971001
mir294-3p|chr1:63523100-63523139	-1.682017191	-0.646269834	-1.870216952	-1.190549901	-1.298702207
mir690-3p|chr6:109190316-109190339	-4.871051015	-6.438083905	-5.005853255	-5.040587395	-5.67721383
mir874-5p|chr17:9222183-9222223	-0.783588174	-0.460803981	-0.749922719	0.203465809	-1.738614375
mir_chr14_10029|chr14:63256438-63256502	-1.168393472	-4.862771574	-4.71954907	-3.521426953	-2.802744712
mir3566-5p|chr17:23337734-23337788	-2.54912292	-4.11615581	-2.397620975	-2.784461359	-2.802744712
mir20a-5p|chr15:103641345-103641394	6.927015705	7.118115569	7.059023662	6.784530905	7.048768687
mir_chr2_16460|chr2:138772670-138772729	0.682309488	-0.248259346	0.638002935	-0.005692077	-0.590882958
