featureAndLoc	BNLX1_MaleLiver	BNLX2_MaleLiver	BNLX3_MaleLiver	SHRH1_MaleLiver	SHRH5_MaleLiver
mir690-3p|chr6:41896264-41896287	0	0	0.73	1.07	0.25
mir224-3p|chr1:147949929-147949970	0	0	0	0	0
mir339-5p|chr12:19355864-19355912	396.45	3201.97	1391.71	3341.02	1470.39
mir690-3p|chr3:129901338-129901360	0.46	1.25	1.17	0.07	1.28
mir29c-3p,mir3556b-3p|chr13:118329969-118330022	130	232.25	175.96	473.37	267.4
mir_chr5_25105|chr5:20894320-20894383	0.98	6	9	5	5.99
rno-mir-3075-5p,mir3075-5p|chr16:1800321-1800377	0	6	4.99	12	8.99
mir_chr5_25980|chr5:164489061-164489114	0	0	0	1	0
mir_chr9_32784|chr9:73130820-73130885	0	4	7	12	15.98
mir126a-3p,mir126b-3p,mir3567-3p,mir126-3p|chr3:9402711-9402770	375528.11	928178.35	1507746.13	502329.64	780996.15
mir208b-5p|chr15:37526164-37526220	0	0	0	0	0
mir3595-3p,mir376a-3p|chr6:143035943-143036003	5	10	3	7	6
mir181b-3p,mir181b-1-3p,mir181b1-3p|chr13:59986292-59986349	11.26	42.96	34.69	26.16	69.59
mir101a-1-3p,mir101b-3p|chr1:254503441-254503490	210610.74	436490.81	627292.03	354002.95	493257.93
mir3548-3p,mir200a-3p|chr5:176963374-176963434	2622.6	8954	6676.05	4731.27	6325.43
mir_chr14_10592|chr14:71638378-71638425	3.53	13.9	18.23	0.8	0
mir_chr1_2742|chr1:118281831-118281887	0	1.19	2.35	0.35	1.85
mir879-5p|chr4:21605854-21605892	57	304	236	152.99	198.99
mir_chr1_1918|chr1:274073953-274074010	1	2	3	0	0
mir5132-5p|chr1:152464630-152464665	5	1	2.15	0	2
mir490-3p|chr4:63056531-63056573	76	250.81	263	342.89	283.98
mir7061-5p|chr1:208508737-208508767	0	0	0	0.99	0
mir215-3p|chr13:107924718-107924768	0	0	1	1.96	1
mir324-5p|chr10:56366242-56366286	30	136	77.99	173.42	81.99
mir294-3p|chr1:63523100-63523139	4.06	27.2	10.31	22.14	15.1
mir690-3p|chr6:109190316-109190339	0	0	0.73	1.07	0.25
mir874-5p|chr17:9222183-9222223	8	31	23	59	11
mir_chr14_10029|chr14:63256438-63256502	6.01	0.99	1	4	5
mir3566-5p|chr17:23337734-23337788	2	2	7	7	5
mir20a-5p|chr15:103641345-103641394	1780	6022.22	5269.31	5696.09	5080.67
mir_chr2_16460|chr2:138772670-138772729	22.98	36	61	50.97	24.98
mir_chr6_27733|chr6:115745872-115745941	1	4	4	5	2
mir_chr8_31032|chr8:47872601-47872688	0	3	1	1	2
mir_chr12_8078|chr12:10256707-10256764	21.12	44.26	39.31	37.19	16.19
rno-mir-3099-3p,mir3099-3p|chr1:71529855-71529919	0	14.43	2	15.96	0
mir_chr17_14081|chr17:73474620-73474679	798.82	1294.1	1907.27	815.91	804.86
mir743b-3p|chrX:151248557-151248595	7	5	38	4	3
mir344d-3-5p,mir344e-5p,rno-mir-344b-2-5p|chr1:122315651-122315688	0	0	0	0	0
mir29a-1-3p,mir29a-2-3p,mir29a-3p,mir3556a-3p|chr4:58099661-58099720	27261.51	120885.98	116260.64	124077.56	92788.11
mir154-5p|chr6:143050942-143050984	3	27	8	18	5
mir_chr1_2|chr1:2915441-2915496	19.04	38	54.5	0	1
mir666-3p|chr6:143028743-143028792	3.98	26	10	7	1
mir6516-3p|chr14:80312516-80312653	5.34	14.18	46.15	9.48	22.44
mir3557-5p|chr18:55956639-55956695	158588.01	618095.55	473911.41	868999.26	341324.2
mir540-3p|chr6:142868420-142868462	1	4	5	7	1
mir_chr1_3445|chr1:222799859-222799921	0.67	1	1.34	4	0.33
mir23a-5p|chr19:36294769-36294806	0	0	0	2	0
mir_chr20_19118|chr20:16276308-16276364	0	0	0	8.03	4
mir106a-5p,mir20-5p,mir20a-2-5p,mir20a-5p,mir20b-5p|chrX:140167402-140167440	4.25	54.84	39.01	75.57	42.21
mir484-5p|chr10:27869-27921	0	0	0	1	1
mir449b-5p|chr2:63935045-63935085	1.97	9	4	6	3
mir_chr1_1408|chr1:223449583-223449644	0	0	3	0	0
mir345-5p|chr6:141919043-141919091	222.3	936.08	558.98	1198.65	472.76
mir_chr6_26717|chr6:118424436-118424501	1.01	0	1.07	1.02	0.46
mir872-5p|chr5:117604926-117604966	11000.78	22159.99	42418.5	36533.38	38926.79
mir_chr7_28834|chr7:136948303-136948360	0	2	9	11	10
mir_chr18_15058|chr18:70647393-70647459	0	0.5	0.5	2.5	1.5
mirlet7i-5p|chr7:67000235-67000280	56534.35	71863.15	193458.45	150385.94	149486.87
mir_chr14_10170|chr14:86799509-86799588	3	6	1	4	6
mir_chr1_2666|chr1:102836370-102836444	10.04	2.88	22.14	787.58	125.44
mir_chr5_25884|chr5:156741047-156741110	0	1.01	0	3.55	0.98
mir_chr11_10165|chr11:91758312-91758371	3	20	2	11.93	2
mir217-1-3p,mir217-3p|chr14:112809714-112809767	0	0	0	0	0
mir1291-3p|chr6:84014833-84014863	0	0	0	0.49	0
mir667-3p|chr6:143031953-143031999	0	18.99	0	0	1
mir294-5p|chr1:63523139-63523178	8	5	7.55	9	8
rno-mir-128-2-3p,mir128-2-3p|chr8:119718184-119718226	118.41	761.44	228.11	605.25	140.41
mir_chr12_7541|chr12:10190579-10190636	0	0	0	1	1
mir_chr4_23906|chr4:239656716-239656779	0	2	2	0	0
mirlet7b-1-5p,mirlet7b-2-5p,mirlet7b-5p|chr7:126301332-126301382	6072.66	17498.53	12420.75	18511.96	6294.79
mir_chr16_12777|chr16:59389280-59389332	0	0	0	0	0
mir331-5p|chr7:34938797-34938845	26.9	56.76	57.31	139.99	42.92
mir32-3p|chr5:78089036-78089076	23	59.99	57.99	30.99	41.72
mir_chr5_25182|chr5:52645996-52646055	0	0	0	4	0
mir_chr1_581|chr1:90162449-90162503	3	5	15.99	14.99	9.98
mir135a-5p,mir135-1-5p,mir135a-2-5p|chr7:32974125-32974175	0	2.99	2.11	0	0
mir450a-3p,mir450-1-3p|chrX:152778729-152778774	0	12.92	3.94	23	24.07
mir2985-3p|chr2:198998681-198998736	0	0	0	0	0
mir421-5p|chrX:75245495-75245534	1	5	7	7	11
mir3596b-3p,mirlet7d-3p|chr17:18476092-18476142	23038.77	28994.72	51619.34	89625.46	30092.76
mir_chr13_9316|chr13:65535627-65535681	0.03	0	0	3.74	4.81
mir_chr8_30085|chr8:36689158-36689225	0	4	2	5	9.99
mir_chr3_21209|chr3:98496981-98497025	0	0	0	1	1
mir410-5p|chr6:143056349-143056389	0	0	0	0	0
mir3549-3p,mir193a-1-3p,mir193a-3p,mir193a-2-3p,mir193-3p|chr10:64583956-64584012	5488.97	10123.48	7135.13	55119.8	52771.59
mir_chrX_33873|chrX:33863499-33863559	1	7.99	2	5.02	0
mir_chr10_4334|chr10:35462010-35462076	1	2	1.01	5	0.99
mir_chr7_28368|chr7:53610418-53610469	143.96	12.58	15.94	3008.36	3130.65
mir_chr20_18618|chr20:12841738-12841782	0	0	3	0.99	2
mir674-3p|chr3:115421275-115421325	107.93	876.83	266.82	1255.85	487.55
mir_chr10_6445|chr10:108790442-108790495	0	0	0	0	0
mir22-5p|chr10:62013641-62013688	292.74	3752.83	1079.92	1193.51	1418.15
