feature	logFC	AveExpr	t	P.Value	adj.P.Val	B
mir_chr2_16307|chr2:96516164-96516224	-7.746301244	-1.013326434	-9.627793817	7.82E-08	9.97E-05	7.657910457
"rno-mir-6321-5p,mir6321-5p|chr14:21007235-21007305"	-6.446599857	0.851397146	-8.602405188	3.34E-07	0.00021288	6.55505788
mir_chr12_8423|chr12:46729483-46729546	8.012156945	-2.631569697	7.748109744	1.23E-06	0.000522283	5.57635478
"mir10d-5p,mir10b-1-5p,mir10b-5p,mir10b-2-5p|chr3:68113661-68113715"	-3.245451599	9.577540253	-7.148362712	3.24E-06	0.000684679	4.792119648
mir_chr7_28368|chr7:53610418-53610469	6.312863096	2.504651739	7.094472514	3.54E-06	0.000684679	4.721809099
mir_chr5_24137|chr5:34613508-34613564	6.519639074	-2.472053966	7.029260128	3.95E-06	0.000684679	4.499345138
mir_chr5_26083|chr5:174135936-174135980	5.449328385	-3.154399364	6.936582579	4.62E-06	0.000684679	4.329164328
mir_chr1_2|chr1:2915441-2915496	-5.862074996	-2.129141492	-6.931609548	4.66E-06	0.000684679	4.232183828
mir_chr17_13361|chr17:57997856-57997909	4.386422599	4.461560339	6.791244616	5.91E-06	0.000684679	4.230397423
mir_chr17_13347|chr17:57905644-57905697	4.386422599	4.461560339	6.791244616	5.91E-06	0.000684679	4.230397423
mir_chr15_16781|chr15:107219664-107219708	-5.38628767	-3.221781546	-6.82230749	5.60E-06	0.000684679	4.085090325
mir_chrX_34296|chrX:151288045-151288101	-5.436841442	-2.444223118	-6.196083029	1.67E-05	0.001773717	3.110788864
mir_chrX_33691|chrX:153216419-153216476	-6.184879438	-1.046024635	-6.140451649	1.84E-05	0.001808746	3.011935762
mir_chr5_24048|chr5:21469541-21469607	3.563703535	4.475688561	5.499936375	5.99E-05	0.00545064	1.962229193
mir_chr14_10592|chr14:71638378-71638425	-4.333924775	-3.220521482	-5.162593872	0.000113728	0.009062716	1.394499082
mir_chr1_2666|chr1:102836370-102836444	4.641765197	0.137448905	5.102579961	0.000127681	0.009576081	1.317910699
"mir3549-3p,mir193a-1-3p,mir193a-3p,mir193a-2-3p,mir193-3p|chr10:64583956-64584012"	2.280412598	8.879874807	5.163270911	0.00011358	0.009062716	1.259371834
mir_chr5_25568|chr5:121682915-121682974	4.6863057	-4.007328717	4.970737323	0.000164896	0.011167555	1.082294442
mir_chr13_9355|chr13:76470401-76470444	3.696842171	-1.544392073	4.966021139	0.000166418	0.011167555	1.077205129
mir_chrX_34162|chrX:116273336-116273392	3.922754899	-4.28045357	4.74293612	0.000257777	0.016433255	0.669960946
mir741-3p|chrX:151269257-151269305	-3.787526802	-4.177891027	-4.518755381	0.000402358	0.024428887	0.260745607
mir_chr16_12643|chr16:23039087-23039145	3.431864169	-3.607292722	4.299715537	0.000624639	0.034626714	-0.137445353
"mir181b-2-3p,mir181b2-3p|chr3:28375915-28375959"	2.978487136	-1.065931368	4.307487395	0.000614921	0.034626714	-0.144091731
mir_chr17_14010|chr17:64881451-64881507	3.247247349	-4.553978393	3.772334486	0.001828466	0.093251765	-1.110324976
mir_chr17_13399|chr17:59620670-59620726	3.247247349	-4.553978393	3.772334486	0.001828466	0.093251765	-1.110324976
mir_chr6_28043|chr6:152249816-152249872	4.561173062	0.42950141	3.691002716	0.002160679	0.105956378	-1.375606919
"mir216b-5p,mir216c-5p|chr14:112790836-112790887"	3.193626926	-3.798989652	3.622383767	0.002487861	0.117482333	-1.39733961
mir_chr3_21689|chr3:165500172-165500237	-3.04690335	-4.641221657	-3.528570803	0.003017238	0.13265444	-1.55605315
mir463-5p|chrX:151270968-151271008	-3.489354277	-4.430709369	-3.506948948	0.003154469	0.133303935	-1.597982205
mir_chr19_15612|chr19:25913992-25914045	2.010320581	1.970289896	3.60272987	0.002590442	0.117957622	-1.634856078
mir186-3p|chr2:282781916-282781959	2.738451692	-1.741774763	3.493171106	0.003245157	0.133303935	-1.672539026
